time,ACTON275,BOL5,Densidad2_,ECE7,GR,GR2,HALFAC3,IACCEL1,RX306
1017.371,-0.061050061,-0.1001221,-4.0382878e-05,-0.036630038,-0.021978023,-0.051282052,-0.029304029,2.1611722,0.014652015
1017.4109,-0.053724054,-0.1025641,-0.0005653603,-0.036630038,-0.021978023,-0.058608059,-0.034188036,2.1636143,0.024420025
1017.5909,-0.061050061,-0.1025641,-0.0053305402,-0.034188036,-0.024420025,-0.061050061,-0.034188036,2.1587303,-0.0048840051
1017.701,-0.061050061,-0.1025641,-0.00017499247,-0.034188036,-0.024420025,-0.051282052,-0.031746034,2.1636143,0.0
1017.901,-0.061050061,-0.1025641,-0.0018576124,-0.036630038,-0.021978023,-0.053724054,-0.029304029,2.1660562,-0.0048840051
1018.041,-0.056166057,-0.1001221,-0.0012114864,-0.036630038,-0.021978023,-0.046398047,-0.031746034,2.1611722,-0.01953602
1018.181,-0.053724054,-0.1025641,0.0011172596,-0.036630038,-0.021978023,-0.063492067,-0.034188036,2.1587303,0.0097680101
1018.511,-0.068376072,-0.1025641,0.00021537536,-0.034188036,-0.021978023,-0.053724054,-0.031746034,2.1660562,0.0
1018.581,-0.058608059,-0.1001221,-0.0010768768,-0.036630038,-0.024420025,-0.051282052,-0.036630038,2.1636143,0.0097680101
1018.861,-0.058608059,-0.097680099,-0.00094226719,-0.036630038,-0.021978023,-0.056166057,-0.031746034,2.1611722,0.0
1018.871,-0.053724054,-0.1001221,-0.0005653603,-0.036630038,-0.021978023,-1.3821734,-0.029304029,2.1636143,0.01953602
1018.881,-0.058608059,-0.1025641,-0.0010768768,-0.034188036,-0.021978023,-1.0256411,-0.024420025,2.1660562,0.0097680101
1019.041,-0.070818074,-0.095238097,0.0029210283,-0.036630038,-0.021978023,-1.0231991,-0.034188036,2.1611722,0.014652015
1019.181,-0.068376072,-0.1001221,0.00098265009,-0.034188036,-0.024420025,-0.90109891,-0.031746034,2.1709402,-0.0048840051
1019.2109,-0.046398047,-0.1025641,-0.0022345192,-0.036630038,-0.021978023,-1.0671551,-0.034188036,2.1660562,0.0048840051
1019.261,-0.051282052,-0.1001221,-0.0028806455,-0.034188036,-0.021978023,-1.0573871,-0.036630038,2.1758242,-0.0097680101
